"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24621.09,0.60995,0.20786,0.12058,0.610,0.208,0.121,23.24,3.44,38.31,2.28,0.34,3.76
24621.10,0.6097,0.20786,0.1207,0.610,0.208,0.121,23.24,3.44,38.17,2.28,0.34,3.74
24621.11,0.60983,0.20723,0.12083,0.610,0.207,0.121,23.24,3.44,38.46,2.28,0.34,3.77
24621.12,0.61021,0.20786,0.12096,0.610,0.208,0.121,23.55,3.59,38.46,2.31,0.35,3.77
24621.13,0.61008,0.20786,0.12109,0.610,0.208,0.121,23.08,3.59,38.02,2.26,0.35,3.73
24621.14,0.61021,0.20849,0.12096,0.610,0.208,0.121,23.39,3.59,38.17,2.29,0.35,3.74
24621.15,0.61046,0.20912,0.12083,0.610,0.209,0.121,23.24,3.59,38.31,2.28,0.35,3.76
24621.16,0.61034,0.20912,0.12096,0.610,0.209,0.121,23.24,3.44,38.17,2.28,0.34,3.74
24621.17,0.61072,0.20849,0.1207,0.611,0.208,0.121,23.24,3.44,38.02,2.28,0.34,3.73
24621.18,0.61046,0.20912,0.12058,0.610,0.209,0.121,23.39,3.59,38.02,2.29,0.35,3.73
24621.19,0.61059,0.20849,0.12083,0.611,0.208,0.121,23.39,3.44,37.87,2.29,0.34,3.71
24621.20,0.61072,0.20912,0.12096,0.611,0.209,0.121,23.39,3.75,38.02,2.29,0.37,3.73
24621.21,0.61059,0.20786,0.12096,0.611,0.208,0.121,22.93,3.59,38.17,2.25,0.35,3.74
24621.22,0.61097,0.20786,0.1207,0.611,0.208,0.121,23.24,3.59,38.17,2.28,0.35,3.74
24621.23,0.61097,0.20849,0.12096,0.611,0.208,0.121,23.39,3.44,38.17,2.29,0.34,3.74
24621.24,0.61084,0.20912,0.12109,0.611,0.209,0.121,23.39,3.13,38.31,2.29,0.31,3.76
24621.25,0.6111,0.20912,0.12083,0.611,0.209,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24621.26,0.6111,0.20849,0.12109,0.611,0.208,0.121,23.24,3.75,38.31,2.28,0.37,3.76
24621.27,0.61122,0.20912,0.12083,0.611,0.209,0.121,23.24,3.59,38.17,2.28,0.35,3.74
24621.28,0.61135,0.20975,0.12083,0.611,0.210,0.121,23.39,3.59,38.31,2.29,0.35,3.76
24621.29,0.61161,0.20786,0.12096,0.612,0.208,0.121,23.39,3.59,38.17,2.29,0.35,3.74
24621.30,0.61161,0.20912,0.12096,0.612,0.209,0.121,23.55,3.75,38.17,2.31,0.37,3.74
24621.31,0.61161,0.20849,0.12109,0.612,0.208,0.121,23.24,3.75,38.02,2.28,0.37,3.73
24621.32,0.61186,0.20912,0.12096,0.612,0.209,0.121,23.08,3.44,38.17,2.26,0.34,3.74
24621.33,0.61199,0.20912,0.12109,0.612,0.209,0.121,23.24,3.59,38.17,2.28,0.35,3.74
24621.34,0.61211,0.20723,0.12096,0.612,0.207,0.121,23.08,3.75,37.87,2.26,0.37,3.71
24621.35,0.61211,0.20975,0.12096,0.612,0.210,0.121,23.08,3.75,38.02,2.26,0.37,3.73
24621.36,0.61237,0.20912,0.12109,0.612,0.209,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24621.37,0.61249,0.20849,0.12109,0.612,0.208,0.121,23.39,3.59,38.02,2.29,0.35,3.73
24621.38,0.61262,0.20912,0.12135,0.613,0.209,0.121,23.39,3.59,38.17,2.29,0.35,3.74
24621.39,0.61249,0.20849,0.12135,0.612,0.208,0.121,23.24,3.44,38.02,2.28,0.34,3.73
24621.40,0.61287,0.21038,0.12109,0.613,0.210,0.121,22.93,3.44,38.31,2.25,0.34,3.76
24621.41,0.61313,0.20912,0.12135,0.613,0.209,0.121,23.24,3.44,37.87,2.28,0.34,3.71
24621.42,0.613,0.20912,0.12122,0.613,0.209,0.121,23.08,3.44,38.17,2.26,0.34,3.74
24621.43,0.61313,0.20975,0.12122,0.613,0.210,0.121,22.93,3.59,38.17,2.25,0.35,3.74
24621.44,0.61351,0.20912,0.12109,0.614,0.209,0.121,23.55,3.44,38.02,2.31,0.34,3.73
24621.45,0.61338,0.20849,0.12122,0.613,0.208,0.121,23.24,3.44,38.17,2.28,0.34,3.74
24621.46,0.61351,0.20912,0.12148,0.614,0.209,0.121,23.55,3.59,38.17,2.31,0.35,3.74
24621.47,0.61376,0.20912,0.12122,0.614,0.209,0.121,23.08,3.59,37.87,2.26,0.35,3.71
24621.48,0.61376,0.20849,0.12109,0.614,0.208,0.121,23.39,3.44,37.87,2.29,0.34,3.71
24621.49,0.61389,0.20975,0.12122,0.614,0.210,0.121,23.08,3.59,37.87,2.26,0.35,3.71
24621.50,0.61414,0.20912,0.12122,0.614,0.209,0.121,23.08,3.75,38.02,2.26,0.37,3.73
24621.51,0.61427,0.20849,0.12109,0.614,0.208,0.121,23.39,3.59,38.31,2.29,0.35,3.76
24621.52,0.61427,0.20912,0.12135,0.614,0.209,0.121,23.39,3.75,38.02,2.29,0.37,3.73
24621.53,0.6144,0.20849,0.12109,0.614,0.208,0.121,23.55,3.28,38.02,2.31,0.32,3.73
24621.54,0.61453,0.20975,0.12109,0.615,0.210,0.121,23.08,3.59,37.87,2.26,0.35,3.71
24621.55,0.61453,0.20849,0.12148,0.615,0.208,0.121,23.24,3.44,38.02,2.28,0.34,3.73
24621.56,0.61478,0.20912,0.12122,0.615,0.209,0.121,23.55,3.75,37.73,2.31,0.37,3.70
24621.57,0.61503,0.20912,0.12135,0.615,0.209,0.121,23.24,3.59,37.87,2.28,0.35,3.71
24621.58,0.61529,0.20912,0.12148,0.615,0.209,0.121,23.55,3.59,37.87,2.31,0.35,3.71
24621.59,0.61516,0.20975,0.12109,0.615,0.210,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24621.60,0.61529,0.21038,0.12122,0.615,0.210,0.121,23.55,3.59,38.02,2.31,0.35,3.73
24621.61,0.61567,0.20912,0.12148,0.616,0.209,0.121,23.39,3.75,37.87,2.29,0.37,3.71
