"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",1-Hz downsampled data,Complete period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original extensometer wire oblique distance; corr = corrected distance to reflect slope-parallel displacement; m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
162.00 ,0.05828,0.04314,0.06571,0.000,0.000,0.000,-3.58,-81.72,-30.93,-0.35,-8.01,-3.03
163.00 ,0.05841,0.04251,0.06571,0.001,-0.001,0.000,-3.58,-82.03,-31.23,-0.35,-8.04,-3.06
164.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-3.27,-81.88,-31.23,-0.32,-8.03,-3.06
165.00 ,0.05828,0.04377,0.06584,0.000,0.001,0.000,-3.42,-81.88,-31.23,-0.34,-8.03,-3.06
166.00 ,0.05853,0.04377,0.06584,0.001,0.001,0.000,-3.42,-81.88,-31.52,-0.34,-8.03,-3.09
167.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-3.27,-82.19,-31.23,-0.32,-8.06,-3.06
168.00 ,0.05841,0.04314,0.06584,0.001,0.000,0.000,-3.58,-82.03,-31.52,-0.35,-8.04,-3.09
169.00 ,0.05853,0.04377,0.06571,0.001,0.001,0.000,-3.58,-82.03,-31.52,-0.35,-8.04,-3.09
170.00 ,0.05853,0.04314,0.06584,0.001,0.000,0.000,-3.58,-82.19,-31.37,-0.35,-8.06,-3.08
171.00 ,0.05853,0.04377,0.06571,0.001,0.001,0.000,-3.42,-82.19,-31.52,-0.34,-8.06,-3.09
172.00 ,0.05853,0.04377,0.06584,0.001,0.001,0.000,-4.04,-82.19,-31.66,-0.40,-8.06,-3.10
173.00 ,0.05853,0.04377,0.06597,0.001,0.001,0.000,-3.58,-82.03,-31.66,-0.35,-8.04,-3.10
174.00 ,0.05841,0.04377,0.06571,0.001,0.001,0.000,-3.58,-82.19,-31.81,-0.35,-8.06,-3.12
175.00 ,0.05853,0.0444,0.06584,0.001,0.001,0.000,-3.73,-82.19,-31.66,-0.37,-8.06,-3.10
176.00 ,0.05841,0.04314,0.06584,0.001,0.000,0.000,-3.73,-82.19,-31.52,-0.37,-8.06,-3.09
177.00 ,0.05853,0.04314,0.06584,0.001,0.000,0.000,-3.42,-82.19,-31.81,-0.34,-8.06,-3.12
178.00 ,0.05828,0.04314,0.06584,0.000,0.000,0.000,-3.73,-82.19,-31.81,-0.37,-8.06,-3.12
179.00 ,0.05866,0.04377,0.06584,0.001,0.001,0.000,-3.73,-82.34,-32.10,-0.37,-8.07,-3.15
180.00 ,0.05841,0.04314,0.06571,0.001,0.000,0.000,-3.73,-82.34,-31.96,-0.37,-8.07,-3.13
181.00 ,0.05853,0.04314,0.06571,0.001,0.000,0.000,-3.89,-82.03,-31.96,-0.38,-8.04,-3.13
182.00 ,0.05866,0.04377,0.06571,0.001,0.001,0.000,-3.73,-82.50,-31.96,-0.37,-8.09,-3.13
183.00 ,0.05853,0.04314,0.06597,0.001,0.000,0.000,-3.73,-82.50,-31.66,-0.37,-8.09,-3.10
184.00 ,0.05853,0.04377,0.06571,0.001,0.001,0.000,-3.73,-82.81,-31.81,-0.37,-8.12,-3.12
185.00 ,0.05828,0.04314,0.06609,0.000,0.000,0.000,-3.73,-82.50,-31.66,-0.37,-8.09,-3.10
186.00 ,0.05841,0.04503,0.06597,0.001,0.002,0.000,-3.89,-82.50,-31.66,-0.38,-8.09,-3.10
187.00 ,0.05853,0.04377,0.06584,0.001,0.001,0.000,-3.73,-82.50,-31.66,-0.37,-8.09,-3.10
188.00 ,0.05841,0.04314,0.06597,0.001,0.000,0.000,-3.73,-82.81,-31.66,-0.37,-8.12,-3.10
189.00 ,0.05879,0.0444,0.06584,0.001,0.001,0.000,-3.73,-82.81,-31.81,-0.37,-8.12,-3.12
190.00 ,0.05853,0.04377,0.06584,0.001,0.001,0.000,-3.89,-82.66,-31.66,-0.38,-8.10,-3.10
191.00 ,0.05853,0.04314,0.06584,0.001,0.000,0.000,-4.20,-82.34,-32.10,-0.41,-8.07,-3.15
192.00 ,0.05841,0.0444,0.06609,0.001,0.001,0.000,-4.20,-82.81,-31.66,-0.41,-8.12,-3.10
193.00 ,0.05828,0.04377,0.06571,0.000,0.001,0.000,-3.89,-82.81,-31.96,-0.38,-8.12,-3.13
194.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-4.04,-82.81,-31.96,-0.40,-8.12,-3.13
195.00 ,0.05853,0.04377,0.06597,0.001,0.001,0.000,-4.04,-82.50,-32.10,-0.40,-8.09,-3.15
196.00 ,0.05866,0.04377,0.06584,0.001,0.001,0.000,-4.20,-82.97,-31.96,-0.41,-8.13,-3.13
