h_m,cv_m2_s,T_s,Pu_kPa,phi_deg,tau_kPa,sigma_eff0_kPa,Pi,R_Pi,FS_PD,Psi
0.02493169390285148,0.00010044996633347396,11.514686725710783,18.15083051793946,32.27243107081646,15.704649119584591,27.755965843492117,1.860794226477211,0.04478374409478204,1.0834106046749712,0.08341060467497119
0.10159330541756016,2.0638945900872404e-05,6.264479752915392,19.197974255946182,25.432050720857028,30.96602478457478,26.038670460975236,0.01252686338842551,0.8316105147414176,0.154689700187183,-0.845310299812817
0.02047588622321129,9.48234565313471e-05,10.861677906995697,8.592656797922682,29.73667755611913,26.083311053801978,55.66518653566128,2.456559496651144,0.03392278242428969,1.21271404050583,0.2127140405058301
0.04504842010971361,6.514894244226479e-06,43.49648995831764,6.944907505087892,27.17751720127561,29.846951454867245,34.43210666419419,0.13963762492414722,0.44854556338110463,0.5387223565086988,-0.4612776434913012
0.03717797267080011,7.84730171446553e-06,3.7731198340159007,16.498724178457298,30.627289173762527,15.46835474482413,68.03243097163516,0.021421483400360264,0.779799379013905,2.111471597374636,1.1114715973746359
0.11652924928588007,2.1024498892274264e-05,4.8697187933724715,34.340166721501625,25.163396195035475,19.065262206398494,63.89127721887235,0.007539796760387514,0.8693607670880302,0.8387074728713746,-0.1612925271286254
0.05488275035691253,5.5486332464562686e-05,58.354792795634275,17.580239603528234,36.810601084434495,41.351494315353484,25.66240418119638,1.0749563183247708,0.07752064407894302,0.4397765144766218,-0.5602234855233782
0.031986716079371376,4.8162947491187975e-06,9.509244221575123,23.138698465164815,28.975690346733664,18.799217444181338,87.23583427158539,0.04476305797231057,0.6817176967739382,2.1049962040819707,1.1049962040819707
0.07495646900427559,1.575007890797112e-05,48.714610539526866,24.608219523735034,29.999320960176952,39.26240741018863,69.34108022411775,0.1365600694336447,0.453979398168078,0.855353347918666,-0.14464665208133398
0.05399989889806937,1.2454518029290317e-06,85.9485943533833,23.07742522301021,29.867876603448032,15.841636384567838,27.874303596206488,0.03670961338437684,0.7117463682615766,0.4150420679609496,-0.5849579320390503
0.02595389263129871,2.814576339614589e-05,3.926849936902313,20.244369220576978,32.92226972356248,31.76664938286425,68.24388136440335,0.16407874681252,0.4087699247380495,1.2223037296746704,0.22230372967467038
0.08833194420408784,5.463967575793435e-05,15.148724898742168,11.146904393576127,26.911628236536465,32.54816976209743,29.12884408203371,0.10608368894790336,0.5138149162692683,0.3649415439748236,-0.6350584560251764
0.07735901191172685,4.14399624248697e-05,28.97497521369037,13.153622155353178,36.87816050035522,22.157544479399327,31.7936608196307,0.20064142246474126,0.35883344922228866,0.9166799698402242,-0.08332003015977585
0.05848424282844649,2.937899322060788e-06,2.3502010910250797,24.729027299662295,32.507104205569014,25.55826689368981,68.19588589725069,0.002018664702755063,0.9324032315991879,1.1254378132819285,0.1254378132819285
0.0711996646112639,1.6194084087420385e-06,5.328296494351517,5.554205537277962,28.197551510643393,15.3185672318075,67.95336369379996,0.0017021149158377186,0.9379290644922315,2.195997724729961,1.1959977247299611
0.028522291224777112,0.00010005715841436368,8.925465332331157,12.044509232458857,33.590622576634956,26.409140930143487,54.78935163338784,1.0977671043683177,0.07591019486628103,1.3549016853936289,0.3549016853936289
0.05689067272129798,0.00010526604527002077,7.297987503253095,10.438405572345166,27.918769351408635,25.279744132648645,87.5164091011113,0.23736095690529233,0.31784147479185637,1.764899659598133,0.764899659598133
0.08413739651879922,1.8300771386846964e-05,171.8500317909463,29.191847346153764,36.6219103960924,37.07807142169206,36.58368924574617,0.44426374558344395,0.1852716642195873,0.6249326924621799,-0.37506730753782014
