Pi,R_Pi
1.5075543580636437,0.055277147737368006
1.5667008260996191,0.05319031950665548
1.6281678105815949,0.05118227013450642
1.6920463532362393,0.04925002709210325
1.7584310676657842,0.04739072942733618
1.8274202794848182,0.045601623806625566
1.8991161719551006,0.043880060611499336
1.9736249373341588,0.04222349012060089
2.0510569341617724,0.04062945879640233
2.1315268507173366,0.039095605687682514
2.2151538748902504,0.03761965895312471
2.3020618707148532,0.03619943250757264
2.3923795618314516,0.03483282279003398
2.486240722145118,0.03351780565102939
2.5837843739647233,0.03225243335603191
2.6851549939156003,0.031034831701305592
2.790502726930847,0.02986319723826606
2.8999836086382924,0.028735794602454415
3.0137597964723946,0.027650953943269392
3.131999809853483,0.026607068450697102
3.2548787797900016,0.025602591975397812
3.382578708273567,0.024636036738632818
3.515288737850907,0.023705971128645125
3.653205431772026,0.02281101758023044
3.7965330651295908,0.021949850534358648
3.9454839274206335,0.021121194474824363
4.10027863697882,0.020323822039018048
4.26114646774291,0.019556552200019995
4.428325688845538,0.018818248517323933
4.6020639175251405,0.018107817453600104
4.782618485883804,0.0174242067550043
4.970256822034356,0.016766403892633498
5.16525684620106,0.016133434562820428
5.367907382360723,0.01552436124404522
5.578508586033841,0.01493828180832695
5.79737238885953,0.014374328185038074
6.024822960612546,0.013831665075163051
6.261197189346804,0.013309488714096662
6.506845180376649,0.012807025681149107
6.762130774834743,0.012323531753995334
7.027432088574812,0.011858290806371258
7.303142072217279,0.011410613747384557
7.589669093167543,0.010979837500868686
7.887437540468675,0.01056532402326869
8.196888453384522,0.010166459358604107
8.518480174644415,0.009782652729108875
8.852689029316705,0.009413335660201897
9.200010030316928,0.009057961138491744
9.560957611595317,0.00871600280156877
9.936066390089946,0.008386954158384068
10.325891957573713,0.008070327839061175
10.731011703568143,0.007765654873028986
11.152025670543086,0.007472483994406625
11.589557442668594,0.007190380973611778
12.044255069435671,0.006918927974202193
12.516792025513643,0.006657722933997964
13.007868208266254,0.006406378969567685
13.518210974403463,0.0061645238031967
14.048576217304594,0.00593179921148861
14.599749486608792,0.005707860494783159
15.1725471517305,0.005492375966604952
15.7678176110238,0.005285026462386523
16.386442548386153,0.00508550486673828
17.029338239163295,0.004893515658564985
17.697456907288938,0.004708774473355154
18.391788135669607,0.004531007681995083
19.11336033190403,0.004359951985483421
19.863242251507263,0.004195354024946331
20.642544580896317,0.004036970006375378
21.452421582481406,0.0038845653395324455
22.294072804300153,0.0037379142904867264
23.16874485672613,0.003596799647269304
24.077733258883697,0.003461012398149998
25.02238435750439,0.0033303514220599352
26.004097321066045,0.003204623190701424
27.02432621216909,0.0030836414819038088
28.084582141218828,0.0029672271038008228
29.186435504604557,0.002855207629420799
30.331518310689535,0.0027474171412967614
31.52152659705739,0.0026436959857180395
32.758222942595864,0.002543890536259395
34.0434390781375,0.002447852966237516
35.37907859952499,0.0023554410297577364
36.767119787118844,0.0022665178510267864
38.20961853592468,0.002180951721619388
39.70871140067861,0.0020986159053985533
41.26661876040165,0.0020193884508005657
42.88564810711109,0.0019431520102065826
44.56819746355832,0.001869793666133423
46.3167589350566,0.001799204763986001
48.133922400658484,0.0017312807511237647
50.022379349151706,0.001665921022002689
51.9849268655532,0.001603028769163552
54.02447177400684,0.0015425108398457264
56.14403494322206,0.0014842775980140944
58.346755760828295,0.0014282427915947935
60.635896783274276,0.0013743234247230855
63.01484856815781,0.0013224396348141727
65.48713469614553,0.0012725145742748447
68.05641698991852,0.0012244742966807899
70.72650093787463,0.0011782476472509803
73.50134133062255,0.0011337661574568603
76.38504811861304,0.001090963943610306
79.38189249958579,0.0010497776092800997
82.49631324484659,0.0010101461513924166
85.73292327374739,0.000972010869876204
89.09651648610397,0.0009353152807196699
92.59207486267253,0.0009000050323090875
96.22477584420373,0.0008660278249259728
100.0,0.0008333333332834503
